ID,Type,SubType,GeometryType,StartX_mm,StartY_mm,EndX_mm,EndY_mm,Length_mm,Width_mm,Thickness_mm,Height_mm,Level,DimensionText,LengthVerified,Confidence
"2238bde9-7ef7-4559-ba9f-8fd659c22a1d","wall","exterior-wall","line","11553.47","2298.60","13448.81","2298.60","1895.33","","150.00","","Level 1","2,275","NO","0.85"
"5ba9bd45-3b0c-47cf-bf88-61dcb72579d4","wall","exterior-wall","line","13448.81","2298.60","13448.81","9637.97","7339.38","","150.00","","Level 1","7,280","YES","0.90"
"002d2ce5-2aed-4998-9073-85860e1b7bfb","wall","exterior-wall","line","10988.90","9637.97","13448.81","9637.97","2459.90","","150.00","","Level 1","2,730","NO","0.85"
"c7f8e577-f41a-4dfc-a473-2a12f0e19069","wall","exterior-wall","line","1471.91","9234.71","10988.90","9234.71","9517.00","","150.00","","Level 1","10,920","NO","0.90"
"35d97d28-c689-4e71-91df-9c62eb3a7c63","wall","interior-wall","line","1471.91","3629.36","8065.25","3629.36","6593.34","","120.00","","Level 1","","NO","0.90"
"b843b099-404c-402d-8b8b-5681c5366374","wall","exterior-wall","line","1471.91","1895.33","11553.47","1895.33","10081.56","","150.00","","Level 1","2,275","NO","0.90"
"be5c9b67-023e-45ab-9bb4-a972e9413223","wall","interior-wall","line","5343.23","5444.04","8065.25","5444.04","2722.02","","120.00","","Level 1","","NO","0.90"
"40766da6-8882-4a67-8951-f7283eec3233","wall","interior-wall","line","1471.91","5444.04","5343.23","5444.04","3871.32","","120.00","","Level 1","","NO","0.90"
"25246192-a933-4c31-b5ce-d80832ec41eb","wall","interior-wall","line","3407.57","1895.33","3407.57","3629.36","1734.03","","120.00","","Level 1","","NO","0.90"
"d35009b8-3095-4e19-ac06-42d737d6a485","wall","interior-wall","line","6653.83","1895.33","6653.83","5444.04","3548.71","","120.00","","Level 1","","NO","0.90"
"f147cc52-a46a-4084-8967-6ef5e13def55","wall","interior-wall","line","8065.25","1895.33","8065.25","6048.94","4153.60","","120.00","","Level 1","","NO","0.90"
"87d1538f-f8d1-4795-8572-0df53af23fd1","wall","interior-wall","line","10988.90","2298.60","10988.90","9637.97","7339.38","","120.00","","Level 1","","NO","0.90"
"75eeac25-4a59-4fb1-b844-30190c7f3e4e","door","hinged-door","line","2217.94","3629.36","2822.84","3629.36","604.89","","","","Level 1","","NO","0.90"
"d8733516-cd88-4ded-9026-3768e26e7c7f","door","hinged-door","line","4032.63","3629.36","4637.52","3629.36","604.89","","","","Level 1","","NO","0.90"
"ad4df0d1-a2be-49a9-a5a0-a1190620f6ef","door","hinged-door","line","5847.31","3629.36","6452.20","3629.36","604.89","","","","Level 1","","NO","0.90"
"84bb5598-fd59-4244-a097-fd0fa0dd4322","door","hinged-door","line","7057.09","3629.36","7661.99","3629.36","604.89","","","","Level 1","","NO","0.90"
"c850d3c2-2064-4651-a26c-9a1ae0248bb0","door","opening","line","7359.54","5444.04","7964.43","5444.04","604.89","","","","Level 1","","NO","0.80"
"24c77637-eaee-47d1-a6e2-64d5bc60a688","door","opening","line","8065.25","4032.63","8065.25","5040.78","1008.16","","","","Level 1","","NO","0.80"
"6e6eefa0-7cbe-46b4-a734-fa00097015bc","door","hinged-door","line","10988.90","4637.52","10988.90","5242.41","604.89","","","","Level 1","","NO","0.90"
"2a664a98-b65e-4e39-9445-285d58d2eb4d","door","sliding-door","line","10988.90","2621.21","10988.90","3427.73","806.53","","","","Level 1","","NO","0.90"
"17e6a5e9-0086-4cbf-ba8e-5127a838f727","door","sliding-door","line","3830.99","5444.04","4435.89","5444.04","604.89","","","","Level 1","","NO","0.90"
"9740f889-9bec-459e-932f-d83207b8e45f","wall","interior-wall","line","5343.23","6048.94","10988.90","6048.94","5645.68","","120.00","","Level 1","2,730","NO","0.90"
"3034b083-798c-4a1a-9f07-f96b3368ecd7","wall","interior-wall","line","1471.91","7258.73","5343.23","7258.73","3871.32","","120.00","","Level 1","10,920","NO","0.90"
"84be7552-1f73-49ff-b8af-4ae0675991ad","door","sliding-door","line","5847.31","5444.04","6452.20","5444.04","604.89","","","","Level 1","","NO","0.90"
"3060bac4-0ea8-4a9e-990c-551aa4f35477","door","sliding-door","line","3830.99","7258.73","4435.89","7258.73","604.89","","","","Level 1","","NO","0.90"
"3fc42a90-87c4-4841-96ad-af8fec497b55","door","sliding-door","line","5343.23","7460.36","5343.23","8266.88","806.53","","","","Level 1","","NO","0.90"
"58ce2f17-6846-440b-a780-588043de0aed","door","sliding-door","line","8065.25","9234.71","9476.67","9234.71","1411.42","","","","Level 1","","NO","0.90"
"78a2f615-0027-4786-b108-a47b630f4e26","window","casement-window","line","1814.68","1895.33","3024.47","1895.33","1209.79","","","","Level 1","","NO","0.90"
"8971bb2d-7bf2-4d26-ae77-86c55671ef25","window","casement-window","line","3629.36","1895.33","4839.15","1895.33","1209.79","","","","Level 1","","NO","0.90"
"cef3483d-b4e4-4ce9-a3fc-c408b62bace8","window","casement-window","line","5645.68","1895.33","6452.20","1895.33","806.53","","","","Level 1","","NO","0.90"
"85d82bb4-cefe-4656-9888-3897da40c981","window","casement-window","line","6855.46","1895.33","7863.62","1895.33","1008.16","","","","Level 1","","NO","0.90"
"6cebdea2-562d-405c-bad6-5622b3c1062f","window","sliding-window","line","9678.30","1895.33","10888.09","1895.33","1209.79","","","","Level 1","","NO","0.90"
"f7ee2469-27ab-44f9-b7c5-b10c4a720c28","window","internal-window","line","8670.14","3629.36","9879.93","3629.36","1209.79","","","","Level 1","","NO","0.80"
"b36b7677-dbbf-4947-96df-da1a012285ee","window","casement-window","line","13448.81","5040.78","13448.81","5847.31","806.53","","","","Level 1","","NO","0.90"
"00acb4f3-1fc0-4879-bb61-1fa33d8af659","window","sliding-window","line","13448.81","7258.73","13448.81","8468.51","1209.79","","","","Level 1","","NO","0.90"
"7aa1989f-0d9e-4fe2-9a39-504d22f73dce","window","casement-window","line","1471.91","6048.94","1471.91","6855.46","806.53","","","","Level 1","","NO","0.90"
"7b0a07df-636f-4a4a-91cc-593dc7ec041b","window","sliding-window","line","1471.91","8065.25","1471.91","8871.78","806.53","","","","Level 1","","NO","0.90"
"fadbdf83-dd8f-4356-ae61-1dd0eca0daab","room","","polygon","1471.91","1895.33","3407.57","1895.33","","1792.00","","","Level 1","","NO","0.95"
"01ab673e-b587-4339-bc33-9253ce6b0d5e","room","","polygon","3407.57","1895.33","5343.23","1895.33","","1792.00","","","Level 1","","NO","0.95"
"80a25c85-47bc-496d-abc9-3f6ecd9d9793","room","","polygon","5343.23","1895.33","6653.83","1895.33","","1214.00","","","Level 1","","NO","0.95"
"08ffe847-1d5a-4947-a30e-49315a311953","room","","polygon","6653.83","1895.33","8065.25","1895.33","","1307.00","","","Level 1","","NO","0.95"
"b44586fe-9b6e-4199-b882-60d0dde0d0f4","room","","polygon","8065.25","1895.33","11553.47","1895.33","","3230.00","","","Level 1","","NO","0.95"
"38a4c897-71e5-44f9-a610-a616b88077e2","room","","polygon","11553.47","2298.60","13448.81","2298.60","","1755.00","","","Level 1","","NO","0.95"
"b40076e7-441f-4769-9335-bca79f7082a3","room","","polygon","1471.91","3629.36","5343.23","3629.36","","1792.00","","","Level 1","","NO","0.95"
"08c1d61d-2500-46be-9dc3-bd1fcb44f8e2","room","","polygon","5343.23","3629.36","6653.83","3629.36","","1214.00","","","Level 1","","NO","0.95"
