ID,Type,SubType,GeometryType,StartX_mm,StartY_mm,EndX_mm,EndY_mm,Length_mm,Width_mm,Thickness_mm,Height_mm,Level,DimensionTexts,Confidence
"elem_0","wall","exterior","line","2424.73","1885.90","12339.21","1885.90","9914.48","","161.65","3000.00","Level 1",";;","0.98"
"elem_1","wall","exterior","line","2496.58","1814.06","2496.58","8585.36","6771.30","","161.65","3000.00","Level 1",";;;;","0.98"
"elem_2","wall","exterior","line","12267.36","1814.06","12267.36","8585.36","6771.30","","161.65","3000.00","Level 1","","0.98"
"elem_3","wall","exterior","line","2424.73","8513.51","8872.73","8513.51","6448.00","","161.65","3000.00","Level 1","","0.98"
"elem_4","wall","exterior","line","10561.07","8513.51","12339.21","8513.51","1778.14","","161.65","3000.00","Level 1","","0.98"
"elem_5","wall","exterior","line","10561.07","5406.26","12339.21","5406.26","1778.14","","161.65","3000.00","Level 1","","0.98"
"elem_6","wall","exterior","line","10489.22","5478.11","10489.22","8585.36","3107.25","","161.65","3000.00","Level 1","","0.98"
"elem_7","wall","interior","line","2424.73","3232.98","4220.84","3232.98","1796.11","","125.73","2700.00","Level 1",";","0.95"
"elem_8","wall","interior","line","4220.84","3232.98","6034.90","3232.98","1814.06","","125.73","2700.00","Level 1","","0.95"
"elem_9","wall","interior","line","6034.90","3232.98","7831.00","3232.98","1796.10","","125.73","2700.00","Level 1","","0.95"
"elem_10","wall","interior","line","7831.00","3232.98","8872.73","3232.98","1041.73","","125.73","2700.00","Level 1","","0.95"
"elem_11","wall","interior","line","8872.73","3232.98","10561.07","3232.98","1688.34","","125.73","2700.00","Level 1","","0.95"
"elem_12","wall","interior","line","10561.07","3232.98","11459.12","3232.98","898.05","","125.73","2700.00","Level 1","","0.95"
"elem_13","wall","interior","line","2424.73","5909.17","6034.90","5909.17","3610.17","","125.73","2700.00","Level 1","","0.95"
"elem_14","wall","interior","line","6034.90","5909.17","8872.73","5909.17","2837.83","","125.73","2700.00","Level 1","","0.95"
"elem_15","wall","interior","line","8872.73","5909.17","10561.07","5909.17","1688.34","","125.73","2700.00","Level 1","","0.95"
"elem_16","wall","interior","line","8872.73","7166.44","10561.07","7166.44","1688.34","","125.73","2700.00","Level 1","","0.95"
"elem_17","wall","interior","line","4274.72","1814.06","4274.72","3179.10","1365.04","","125.73","2700.00","Level 1","","0.95"
"elem_18","wall","interior","line","6088.78","1814.06","6088.78","3179.10","1365.04","","125.73","2700.00","Level 1",";","0.95"
"elem_19","wall","interior","line","7884.88","1814.06","7884.88","3179.10","1365.04","","125.73","2700.00","Level 1","","0.95"
"elem_20","wall","interior","line","8926.62","1814.06","8926.62","3179.10","1365.04","","125.73","2700.00","Level 1","","0.95"
"elem_21","wall","interior","line","10614.95","1814.06","10614.95","3179.10","1365.04","","125.73","2700.00","Level 1",";","0.95"
"elem_22","wall","interior","line","11513.00","1814.06","11513.00","3179.10","1365.04","","125.73","2700.00","Level 1","","0.95"
"elem_23","wall","interior","line","4274.72","5855.29","4274.72","8585.36","2730.07","","125.73","2700.00","Level 1","","0.95"
"elem_24","wall","interior","line","6088.78","5855.29","6088.78","8585.36","2730.07","","125.73","2700.00","Level 1","","0.95"
"elem_25","wall","interior","line","8926.62","5855.29","8926.62","8585.36","2730.07","","125.73","2700.00","Level 1","","0.95"
"elem_26","wall","interior","line","10614.95","5855.29","10614.95","7112.56","1257.27","","125.73","2700.00","Level 1","","0.95"
"elem_27","wall","partition","line","6088.78","3179.10","6088.78","4526.17","1347.07","","125.73","2700.00","Level 1","","0.95"
"elem_28","wall","partition","line","4220.84","4580.05","6034.90","4580.05","1814.06","","125.73","2700.00","Level 1","","0.95"
"elem_29","wall","partition","line","4274.72","3179.10","4274.72","4526.17","1347.07","","125.73","2700.00","Level 1","","0.95"
"elem_30","wall","partition","line","7884.88","3179.10","7884.88","4526.17","1347.07","","125.73","2700.00","Level 1","","0.95"
"elem_31","wall","partition","line","7831.00","4580.05","8872.73","4580.05","1041.73","","125.73","2700.00","Level 1","","0.95"
"elem_32","wall","partition","line","8926.62","3179.10","8926.62","4526.17","1347.07","","125.73","2700.00","Level 1","","0.95"
"elem_33","wall","partition","line","2424.73","7166.44","4220.84","7166.44","1796.11","","125.73","2700.00","Level 1","","0.95"
"elem_34","wall","partition","line","4274.72","7112.56","4274.72","8585.36","1472.80","","125.73","2700.00","Level 1","","0.95"
"elem_35","wall","partition","line","11513.00","3179.10","11513.00","4436.37","1257.27","","125.73","2700.00","Level 1","","0.95"
"elem_36","door","hinged","point","3322.79","1885.90","3322.79","1885.90","","718.44","","2000.00","Level 1","","0.98"
"elem_37","door","hinged","point","5118.88","1885.90","5118.88","1885.90","","718.44","","2000.00","Level 1","","0.98"
"elem_38","door","hinged","point","6914.99","1885.90","6914.99","1885.90","","718.44","","2000.00","Level 1","","0.98"
"elem_39","door","hinged","point","8351.87","3232.98","8351.87","3232.98","","718.44","","2000.00","Level 1","","0.95"
"elem_40","door","sliding","point","10614.95","2514.54","10614.95","2514.54","","898.05","","2000.00","Level 1","","0.95"
"elem_41","door","sliding","point","8926.62","5208.69","8926.62","5208.69","","1616.49","","2000.00","Level 1","","0.95"
"elem_42","door","sliding","point","5172.77","4580.05","5172.77","4580.05","","1616.49","","2000.00","Level 1","","0.95"
"elem_43","door","sliding","point","3376.67","5909.17","3376.67","5909.17","","1616.49","","2000.00","Level 1","","0.95"
"elem_44","door","sliding","point","6088.78","7220.32","6088.78","7220.32","","1616.49","","2000.00","Level 1","","0.95"
"elem_45","door","sliding","point","5172.77","5909.17","5172.77","5909.17","","1616.49","","2000.00","Level 1","","0.95"
"elem_46","door","hinged","point","12267.36","6465.96","12267.36","6465.96","","718.44","","2000.00","Level 1","","0.98"
"elem_47","door","hinged","point","11513.00","4310.64","11513.00","4310.64","","718.44","","2000.00","Level 1","","0.98"
"elem_48","window","sliding","point","2496.58","2514.54","2496.58","2514.54","","1616.49","","1200.00","Level 1","","0.95"
"elem_49","window","fixed","point","7884.88","2514.54","7884.88","2514.54","","718.44","","1200.00","Level 1","","0.90"
"elem_50","window","sliding","point","10489.22","4310.64","10489.22","4310.64","","1616.49","","1200.00","Level 1","","0.95"
"elem_51","window","sliding","point","12267.36","4310.64","12267.36","4310.64","","1616.49","","1200.00","Level 1","","0.95"
"elem_52","window","sliding","point","7489.74","8513.51","7489.74","8513.51","","2873.76","","1200.00","Level 1","","0.95"
"elem_53","window","sliding","point","4274.72","8513.51","4274.72","8513.51","","3232.98","","1200.00","Level 1","","0.95"
"elem_54","room","bathroom","polygon","2496.58","1885.90","4274.72","1885.90","","","","","Level 1","","0.98"
"elem_55","room","utility","polygon","4274.72","1885.90","6088.78","1885.90","","","","","Level 1","","0.98"
"elem_56","room","bathroom","polygon","6088.78","1885.90","7884.88","1885.90","","","","","Level 1","","0.98"
"elem_57","room","storage","polygon","2496.58","3232.98","4274.72","3232.98","","","","","Level 1","","0.98"
"elem_58","room","storage","polygon","4274.72","3232.98","6088.78","3232.98","","","","","Level 1","","0.95"
"elem_59","room","storage","polygon","7884.88","3232.98","8926.62","3232.98","","","","","Level 1","","0.95"
"elem_60","room","hallway","polygon","8926.62","1885.90","10614.95","1885.90","","","","","Level 1","","0.98"
"elem_61","room","unknown","polygon","10614.95","1885.90","12267.36","1885.90","","","","","Level 1","","0.98"
"elem_62","room","unknown","polygon","10489.22","4436.37","12267.36","4436.37","","","","","Level 1","","0.95"
"elem_63","room","living","polygon","6088.78","5909.17","8926.62","5909.17","","","","","Level 1","","0.98"
"elem_64","room","kitchen","polygon","8926.62","5909.17","10614.95","5909.17","","","","","Level 1","","0.98"
"elem_65","room","bedroom","polygon","4274.72","5909.17","6088.78","5909.17","","","","","Level 1","","0.98"
"elem_66","room","unknown","polygon","2496.58","7166.44","4274.72","7166.44","","","","","Level 1","","0.95"
