ID,Type,SubType,GeometryType,StartX_mm,StartY_mm,EndX_mm,EndY_mm,Length_mm,Width_mm,Thickness_mm,Height_mm,Level,DimensionText,LengthVerified,Confidence
"89cbca9c-3acf-4571-854e-35e4cbf813bb","wall","exterior-wall","line","9824.87","1407.21","9824.87","6396.40","4989.19","","8.00","","Level 1","800x1160","NO","0.98"
"f3088a76-ce54-4e55-9a81-469d35810412","wall","exterior-wall","line","9824.87","6396.40","1535.14","6396.40","8289.73","","8.00","","Level 1","640x1540x1570 3510x2230","NO","0.98"
"c6bda8a5-0957-4622-864f-fae67c726adc","wall","interior-wall","line","2737.66","1407.21","2737.66","1816.58","409.37","","6.00","","Level 1","","NO","0.95"
"884ebc55-586b-492c-9ed7-6a9c979355a9","wall","interior-wall","line","3940.18","1407.21","3940.18","2737.66","1330.45","","6.00","","Level 1","","NO","0.95"
"65c6808c-b095-43eb-936b-42093382224c","wall","interior-wall","line","2737.66","1816.58","2737.66","2737.66","921.08","","6.00","","Level 1","","NO","0.95"
"3f1b2e0c-3529-43fd-96bc-f48bec249be8","wall","interior-wall","line","3940.18","2737.66","4925.23","2737.66","985.05","","6.00","","Level 1","","NO","0.95"
"204ca805-f54f-4af1-a763-1ac20f02419e","wall","interior-wall","line","4925.23","1407.21","4925.23","2277.12","869.91","","6.00","","Level 1","","NO","0.95"
"ff4b6ad8-3906-4b91-b231-78f1abbeb69e","wall","interior-wall","line","4925.23","3172.61","6332.43","3172.61","1407.21","","6.00","","Level 1","","NO","0.95"
"62c59a9a-90b6-45fd-b122-bebf3a7227d3","wall","interior-wall","line","6332.43","1407.21","6332.43","3172.61","1765.41","","6.00","","Level 1","","NO","0.95"
"b047f8ba-5ad0-4d26-ac3b-68a5e5bd0985","wall","interior-wall","line","1535.14","3556.40","3940.18","3556.40","2405.05","","6.00","","Level 1","","NO","0.95"
"38dd1ac2-6ff7-40fb-b24f-503b129b5e7d","wall","interior-wall","line","2737.66","2737.66","2737.66","3556.40","818.74","","6.00","","Level 1","","NO","0.95"
"7051bcf4-e6a3-4428-a874-514cd6c6957d","wall","interior-wall","line","3940.18","2737.66","3940.18","3556.40","818.74","","6.00","","Level 1","","NO","0.95"
"78178c86-80fb-4538-9622-47ef504fbc4e","wall","interior-wall","line","2737.66","3556.40","2737.66","4861.26","1304.87","","6.00","","Level 1","","NO","0.95"
"a0d771e7-d084-4b72-bbe7-31a6d354d980","wall","exterior-wall","line","1535.14","6396.40","1535.14","1407.21","4989.19","","8.00","","Level 1","910","NO","0.98"
"9d3ed471-ff2c-4011-85ff-f727071d9e91","wall","interior-wall","line","1535.14","2737.66","3940.18","2737.66","2405.05","","6.00","","Level 1","910","NO","0.95"
"bb3696ad-ffa4-46df-8648-a6912971897f","wall","exterior-wall","line","1535.14","1407.21","9824.87","1407.21","8289.73","","8.00","","Level 1","05","NO","0.98"
"40a27823-d8c7-401c-9a5f-b9c21e179d84","wall","interior-wall","line","3940.18","3556.40","3940.18","5372.97","1816.58","","6.00","","Level 1","","NO","0.95"
"bbd29300-da38-49e7-8794-1298e1b5b65d","wall","interior-wall","line","4925.23","5372.97","4925.23","6396.40","1023.42","","6.00","","Level 1","","NO","0.95"
"5e53ce04-9f15-4cbe-b8a8-3732aa57a82f","wall","interior-wall","line","3940.18","5372.97","4925.23","5372.97","985.05","","6.00","","Level 1","","NO","0.95"
"423875d0-12b3-4a76-aa21-64286262767e","wall","interior-wall","line","5820.72","5372.97","5820.72","6396.40","1023.42","","6.00","","Level 1","","NO","0.95"
"a00f630d-3c29-4c04-9639-fe4548abaa3b","wall","interior-wall","line","4925.23","5372.97","5820.72","5372.97","895.50","","6.00","","Level 1","","NO","0.95"
"6620a071-366f-45df-8109-d8f9d530362f","wall","interior-wall","line","5820.72","3172.61","5820.72","5372.97","2200.36","","6.00","","Level 1","","NO","0.95"
"2ad77548-2806-4588-ac29-cfe34c965ce1","room","bathroom","polygon","1535.14","1407.21","2737.66","1407.21","","","","","Level 1","","NO","0.90"
"72cab676-d170-4e79-9b75-a690909d78f4","room","washroom","polygon","2737.66","1407.21","3940.18","1407.21","","","","","Level 1","","NO","0.90"
"704a79a1-931e-4852-ac59-d46a2f033c61","room","toilet","polygon","1535.14","1816.58","2737.66","1816.58","","","","","Level 1","","NO","0.90"
"73b6cfe0-a8f6-4d25-b868-75b3e20c2caf","room","storage","polygon","3940.18","1407.21","4579.82","1407.21","","","","","Level 1","","NO","0.90"
"cdc4a241-bc2a-44ed-8d9d-ef96dd6cc311","room","kitchen","polygon","4925.23","1407.21","6332.43","1407.21","","","","","Level 1","","NO","0.90"
"5f4baa78-8801-4e56-b3b5-cde7f84b778b","room","dining","polygon","6332.43","1407.21","9824.87","1407.21","","","","","Level 1","","NO","0.90"
"816247ed-d0fd-4b00-bee2-e4a7f48b1bcf","room","alcove","polygon","1535.14","2737.66","2737.66","2737.66","","","","","Level 1","","NO","0.90"
"91684b6a-22db-4347-9292-eb0503f4a46e","room","closet","polygon","2737.66","2737.66","3940.18","2737.66","","","","","Level 1","","NO","0.90"
"d695db5f-aae6-4494-9abe-7c0e2c0a3c4e","room","japanese-room","polygon","1535.14","3556.40","2737.66","3556.40","","","","","Level 1","","NO","0.90"
"9b253c21-0d0c-4b58-8c6c-1443eac6901b","room","wooden-floor-room","polygon","2737.66","3556.40","3940.18","3556.40","","","","","Level 1","","NO","0.90"
"c78dc8fa-094c-49e2-8e84-a6443bc613bf","room","hall","polygon","3940.18","2737.66","4925.23","2737.66","","","","","Level 1","","NO","0.90"
"ad4b8bc1-3e29-4dd9-84b7-8f56660afd1c","room","entryway","polygon","3940.18","5372.97","4925.23","5372.97","","","","","Level 1","","NO","0.90"
"88a8d54e-1a58-433a-be76-e7f1d1f45bc6","room","storage","polygon","4925.23","5372.97","5820.72","5372.97","","","","","Level 1","","NO","0.90"
"93571a38-b049-45c2-9fa7-2778a73d297c","door","swing-door","line","2737.66","2174.78","2737.66","2379.46","204.68","","","","Level 1","","NO","0.85"
"41c71cc2-f158-4077-b379-b72d59455e7e","door","swing-door","line","3940.18","2046.85","3940.18","2302.70","255.86","","","","Level 1","","NO","0.85"
"5562afc2-dd75-4b97-93c0-92e1df184415","door","swing-door","line","4925.23","2660.90","4925.23","2916.76","255.86","","","","Level 1","","NO","0.85"
"d25a5abb-debb-41cb-a675-122dcc4013b3","door","entry-door","line","4221.62","6396.40","4477.48","6396.40","255.86","","","","Level 1","","NO","0.90"
